,단축코드,한글 종목약명,시장구분,Degree,community_code,community_label,KOSPI_sector,market_cap,market_cap_row
1121,053350,이니텍,KOSDAQ,68,16,IT서비스,소프트웨어,"1,029억원",1029
1122,258610,이더블유케이,KOSDAQ,82,13,기계장비,금속,961억원,961
1123,041520,이라이콤,KOSDAQ,137,14,전자부품,IT부품,"1,058억원",1058
1124,054210,이랜텍,KOSDAQ,52,14,전자부품,IT부품,"2,731억원",2731
1125,065440,이루온,KOSDAQ,97,16,IT서비스,소프트웨어,630억원,630
1126,139480,이마트,KOSPI,85,2,"음식료품, 담배 및 기타화학",유통업,"42,650억원",42650
1127,115610,이미지스,KOSDAQ,98,14,전자부품,반도체,343억원,343
1128,078020,이베스트투자증권,KOSDAQ,50,4,"은행, 증권 및 기타금융",금융서비스,"4,771억원",4771
1129,080010,이상네트웍스,KOSDAQ,51,8,"광고, 디지털컨텐츠, 엔터테인먼트",인터넷,645억원,645
1130,086890,이수앱지스,KOSDAQ,66,11,"의료, 제약 및 생물공학",제약,"3,205억원",3205
1131,007660,이수페타시스,KOSPI,141,14,전자부품,전기전자,"3,270억원",3270
1132,005950,이수화학,KOSPI,61,15,건설,화학,"4,222억원",4222
1133,015020,이스타코,KOSPI,64,8,"광고, 디지털컨텐츠, 엔터테인먼트",서비스업,"1,230억원",1230
1134,047560,이스트소프트,KOSDAQ,109,16,IT서비스,디지털컨텐츠,"1,803억원",1803
1135,900110,이스트아시아홀딩스,KOSDAQ,54,0,"건설, 장비, 기기",미분류,261억원,261
1136,067010,이씨에스,KOSDAQ,50,16,IT서비스,정보기기,862억원,862
1137,093230,이아이디,KOSPI,58,0,"건설, 장비, 기기",유통업,"2,973억원",2973
1138,102710,이엔에프테크놀로지,KOSDAQ,69,12,반도체,화학,"4,351억원",4351
1139,063760,이엘피,KOSDAQ,89,12,반도체,반도체,778억원,778
1140,123570,이엠넷,KOSDAQ,55,8,"광고, 디지털컨텐츠, 엔터테인먼트",전문기술,"1,417억원",1417
1141,079190,EMW,KOSDAQ,53,1,전기전자,통신장비,507억원,507
1142,095190,이엠코리아,KOSDAQ,66,13,기계장비,"기계,장비","1,737억원",1737
1143,091120,이엠텍,KOSDAQ,93,14,전자부품,IT부품,"4,012억원",4012
