,종목코드,종목명,시가총액_label,주식수_label,btin,SIC,GICS
282,010580,지코,358억원,"5,052만주",자동차 신품 부품 제조업,운수장비,자동차
283,010600,웰바이오텍,"1,714억원","2,316만주",상품 중개업,유통업,"화장품,의류,완구"
284,010770,평화홀딩스,582억원,"1,462만주",자동차 신품 부품 제조업,운수장비,자동차
285,010780,아이에스동서,"9,240억원","3,085만주","내화, 비내화 요업제품 제조업",비금속광물,"건설,건축관련"
286,010820,퍼스텍,"1,517억원","4,676만주",무기 및 총포탄 제조업,기계,"상사,자본재"
287,010950,S-Oil,"126,655억원","11,258만주",석유 정제품 제조업,화학,에너지
288,010960,삼호개발,"1,172억원","2,500만주",기반조성 및 시설물 축조관련 전문공사업,건설업,"건설,건축관련"
289,011000,진원생명과학,"1,071억원","2,117만주",의약품 제조업,의약품,건강관리
290,011040,경동제약,"3,252억원","2,655만주",의약품 제조업,제약,건강관리
291,011070,LG이노텍,"22,957억원","2,366만주",전자부품 제조업,전기전자,IT하드웨어
292,011090,에넥스,671억원,"5,999만주",가구 제조업,미분류,"건설,건축관련"
293,011150,CJ씨푸드,851억원,"3,593만주",기타 식품 제조업,음식료품,필수소비재
294,011170,롯데케미칼,"95,628억원","3,427만주",기초 화학물질 제조업,화학,화학
295,011280,태림포장,"2,287억원","7,080만주","골판지, 종이 상자 및 종이용기 제조업",종이목재,"비철,목재등"
296,011300,성안,324억원,"5,685만주",직물직조 및 직물제품 제조업,섬유의복,"화장품,의류,완구"
297,011320,유니크,707억원,"1,932만주",자동차 신품 부품 제조업,"운송장비,부품",자동차
298,011330,유니켐,888억원,"5,962만주","가죽, 가방 및 유사제품 제조업",미분류,"화장품,의류,완구"
299,011370,서한,"1,800억원","10,089만주",건물 건설업,종합건설,"건설,건축관련"
