,quarter,시장구분,종목명,btin
64965,4,KOSPI,토니모리,기타 화학제품 제조업
64970,3,KOSPI,토니모리,기타 화학제품 제조업
64972,1,KOSDAQ,디알텍,의료용 기기 제조업
64973,2,KOSDAQ,디알텍,의료용 기기 제조업
64974,4,KOSDAQ,디알텍,의료용 기기 제조업
64975,2,KOSDAQ,로보로보,기타 전기장비 제조업
64978,1,KOSDAQ,로보로보,기타 전기장비 제조업
64979,3,KOSDAQ,로보로보,기타 전기장비 제조업
64982,1,KOSDAQ,메가스터디교육,일반 교습 학원
65008,4,KOSDAQ,메가스터디교육,일반 교습 학원
65042,1,KOSDAQ,우정바이오,자연과학 및 공학 연구개발업
65049,2,KOSDAQ,우정바이오,자연과학 및 공학 연구개발업
65052,4,KOSDAQ,우정바이오,자연과학 및 공학 연구개발업
65059,4,KOSDAQ,토박스코리아,"섬유, 의복, 신발 및 가죽제품 소매업"
65070,2,KOSDAQ,토박스코리아,"섬유, 의복, 신발 및 가죽제품 소매업"
65080,3,KOSDAQ,신라젠,자연과학 및 공학 연구개발업
65091,1,KOSDAQ,신라젠,자연과학 및 공학 연구개발업
65105,2,KOSDAQ,신라젠,자연과학 및 공학 연구개발업
65107,4,KOSDAQ,신라젠,자연과학 및 공학 연구개발업
65133,1,KOSDAQ,이노인스트루먼트,통신 및 방송 장비 제조업
65135,4,KOSDAQ,인크로스,광고업
65146,2,KOSDAQ,인크로스,광고업
65156,3,KOSDAQ,인크로스,광고업
65161,1,KOSDAQ,인크로스,광고업
65251,4,KOSDAQ,제너셈,특수 목적용 기계 제조업
65267,1,KOSDAQ,제너셈,특수 목적용 기계 제조업
65269,3,KOSDAQ,제너셈,특수 목적용 기계 제조업
65329,4,KOSDAQ,넵튠,소프트웨어 개발 및 공급업
65335,2,KOSDAQ,넵튠,소프트웨어 개발 및 공급업
65338,1,KOSDAQ,넵튠,소프트웨어 개발 및 공급업
65340,3,KOSDAQ,넵튠,소프트웨어 개발 및 공급업
65343,2,KOSDAQ,에스디생명공학,기타 화학제품 제조업
